logwage,educ,exper,fe,married,age,south,nonwh,hisp,union
2.1972,10,27,0,1,43,0,0,0,0
1.7047,12,20,0,1,38,0,0,0,0
1.335,12,4,1,0,22,0,0,0,0
2.3514,12,29,1,1,47,0,0,0,0
2.708,12,40,0,1,58,0,0,0,1
2.1972,16,27,1,1,49,0,0,0,0
2.2586,12,5,1,1,23,0,0,0,1
2.708,14,22,0,0,42,0,0,0,0
2.3979,8,42,0,1,56,0,0,0,0
1.6094,12,14,1,1,32,0,0,0,0
3.2179,17,18,0,1,41,0,0,1,0
3.0155,17,3,0,0,26,0,0,0,0
3.2189,14,4,0,0,24,0,0,1,1
2.6376,14,14,0,0,34,0,0,0,0
1.2528,12,35,0,1,53,0,0,0,0
1.6094,14,0,0,0,20,0,0,1,0
2.3026,16,7,0,1,29,0,0,1,1
2.708,16,26,0,1,48,0,1,0,1
1.763,13,3,0,0,22,0,1,0,0
2.2083,13,16,0,0,35,0,0,1,0
2.4204,17,32,1,1,55,0,1,0,0
2.5649,12,25,0,1,43,0,1,0,1
2.0794,14,15,1,0,35,0,0,0,1
1.454,12,38,1,1,56,0,0,0,0
2.0637,16,17,0,1,39,0,1,0,0
1.9379,12,7,1,0,25,0,0,0,0
3.2179,17,5,1,0,28,0,0,0,0
2.3026,14,22,0,1,42,0,0,0,0
2.621,14,21,0,1,41,0,0,0,0
1.7272,13,2,1,1,21,0,0,1,0
2.6858,14,16,0,1,36,0,1,0,0
3.2179,16,18,0,1,40,0,0,0,0
2.4849,12,14,0,1,32,0,0,0,0
2.708,18,12,0,1,36,0,0,0,0
1.7535,16,3,0,0,25,0,0,0,0
2.5377,17,13,1,1,36,0,0,0,0
2.4605,16,42,1,0,64,0,0,0,0
2.5649,12,8,0,1,26,0,0,0,0
2.5257,15,6,1,1,27,0,0,0,0
3.1135,16,22,0,1,44,0,0,0,0
2.4204,16,3,1,0,25,0,1,0,0
2.7331,16,33,0,1,55,0,0,0,0
2.0412,13,8,1,0,27,0,0,0,1
2.4715,12,26,0,1,44,0,0,0,0
1.6094,14,0,0,1,20,0,0,0,0
1.8718,12,28,0,1,46,0,0,0,0
2.1972,8,33,0,1,47,0,0,0,1
1.209,12,0,0,0,18,0,0,0,0
1.5041,12,7,1,1,25,0,0,0,0
2.3539,14,12,1,1,32,0,0,0,0
1.2528,9,47,0,1,62,0,0,0,1
2.708,16,12,0,1,34,0,0,0,0
2.1401,12,25,1,0,43,0,0,0,0
2.2159,12,44,1,1,62,0,0,0,0
2.2618,9,33,0,0,48,0,0,0,1
1.9279,8,22,1,1,36,0,0,1,0
2.6355,18,14,1,1,38,0,0,0,0
2.3026,14,22,0,0,42,0,1,0,0
1.3218,12,41,1,0,59,0,0,0,0
2.0794,12,8,1,0,26,0,0,0,0
2.4567,12,43,1,1,61,0,0,0,0
2.1844,8,29,1,0,43,0,1,0,0
1.3863,12,6,0,0,24,0,1,0,1
1.7047,12,21,1,0,39,0,1,0,0
1.209,16,3,0,0,25,0,1,0,0
2.3805,12,40,1,1,58,0,0,0,0
1.9459,12,5,0,1,23,0,0,0,0
2.3026,13,34,0,1,53,0,0,0,1
1.6864,16,10,1,1,32,0,0,0,0
2.0149,12,10,1,0,28,0,0,0,0
2.4204,12,41,0,1,59,0,0,0,1
2.3026,10,25,1,1,41,0,0,0,1
1.3863,13,0,0,0,19,0,0,0,0
